category,subcategory
Business Development,Business Development
Business Development,DeFi & Fintech Integrations
Business Development,DevRel
Business Development,Games
Business Development,Governance
Business Development,GovTech
Business Development,Music & Entertainment
Business Development,NFTs
Business Development,Privacy
Business Development,Protocol Subsidies
Business Development,Security
Business Development,Software Development
Development,
Development,Account Abstraction
Development,Bridge
Development,Data Services & Indexing
Development,Developer Tooling
Development,Explorers
Development,Governance
Development,Light Clients
Development,Multisig
Development,Polkadot Protocol & SDK
Development,Privacy
Development,Protocol Subsidies
Development,RPCs and Nodes
Development,SDKs
Development,Smart Contracts
Development,Software Development
Development,Wallets
Economy,DeFi Incentives
Economy,Loans
Economy,Market Operations
Economy,Stablecoins
Operations,Anti-Scam
Operations,Data Services & Indexing
Operations,Ecosystem Services
Operations,Explorers
Operations,Governance
Operations,Infrastructure
Operations,Legal
Operations,Other
Operations,RPCs and Nodes
Operations,SDKs
Operations,Software Services
Operations,Staking
Operations,Testnet
Outreach,
Outreach,Advertising
Outreach,Advertising/Digital Ads
Outreach,Advertising/Influencers
Outreach,Advertising/Physical Ads
Outreach,Advertising/Platform Integrations
Outreach,Advertising/Sponsorships
Outreach,Ambassadors & Agents
Outreach,Anti-Scam
Outreach,Content Creation & Distribution
Outreach,Events
Outreach,Events/Conference Attendance & Side Events
Outreach,Events/Conference Hosting
Outreach,Events/Meetups
Outreach,Games
Outreach,Market Research
Outreach,NFTs
Outreach,PR
Outreach,Social Media & Community Management
Research,Anti-Scam
Research,Governance
Research,Infrastructure
Research,Legal
Research,Polkadot Protocol & SDK
Research,Research
Research,Security
Research,Smart Contracts
Research,Software Services
Talent & Education,Ambassadors & Agents
Talent & Education,Developer Onboarding
Talent & Education,Education
Talent & Education,Incubation
Talent & Education,PBA
Talent & Education,Recruiting
Talent & Education,Trainings & Hackathon
